,Hindi,Bhili
106691,वह लोकतंत्र की पुरजोर समर्थक बनीं और उन्हें पाकिस्तान में सबसे लंबे समय तक शासन करने वाले जियाउल हक के सैन्य शासन के खिलाफ मूवमेंट फोर रिस्टोरेशन ऑफ डेमोक्रेसी में भाग लेने को लेकर 1983 में जेल में डाल दिया गया।,त्यो लोकतंत्र नी पुरजोर समर्थक बणीं अने तिने पाकिस्तान मां सबथी लांबा समय तक शासन करवा वाळा जियाउल हक ना सैन्य शासन नी खिलाफ मूवमेंट फोर रिस्टोरेशन ऑफ डेमोक्रेसी मां भाग लेवा ने लइने 1983 मां जेल मां नाखी दिदु ग्यु ।
33143,ईश्‍वर से प्रार्थना है कि ओरोविले इस देश के सामान्‍य नागरिक को अधिकार संपन्‍न बनाने के विचार से आगे बढ़े।,भगवान थी हाथ जोडिन से कि अेारोविले इना देश नेा एक बराबर नागरिको नो अधिकार थी सम्पन्न वणावानो विचार थी अगाडी वदे।
71508,अपने आरंभिक संबोधन में राष्ट्रपति ने कहा कि शासन प्रणाली में राज्यपाल पद की विशेष गरिमा है।,आपड़ा सरूवात ना संबोधन मा राष्‍ट्रपति ये केदू के सरकार शासन प्रणाली मां राज्‍यपाल पद नी खास गरिमा (ईज्‍जत) हे।
2935,"हमारे देश में किसान का भला तब होगा, जब हम Value additionकी तरफ जाएंगे और Value addition की ओर जाने के लिए,हमने पहली बार food processing को विशेष रूप से बल दिया है।","आपडा देह मा किसाणो नो भलु तेर थाहे , जेर हमु समथन मूल्य नी वोल जाहु अन समथन मूल्य नी वोल जावा नी हारू , हमूये पेलखी वार खेती वाटी थी पेदा थायली वस्तुओं खावा हारू वणावा नी खास रूप थी जोर दे दो से।"
105558,"इस मौके पर जेमोपाई इलेक्ट्रिक के सह-संस्थापक, अमित राज सिंह ने कहा कि ""लॉकडाउन के बाद के परिदृश्य में बहुत सारे उपभोक्ता निजी मोबिलिटी ऑप्शन की तलाश कर रहे हैं, जो सस्ती और सुरक्षित हो।","  आना मौका पर जेमोपाई इलेक्ट्रिक ना सह - संस्थापक, अमित राज सिंह हीं किदु कि "" लॉकडाउन नी बाद ना परिदृश्य मां घणां बदा उपभोक्ता निजी मोबिलिटी ऑप्शन नी तलाश करी रया से, जी हहती अने सुरक्षित होय ।"
20035,"चाहे वह अवसंरचना हो, शिक्षा हो या विदेश नीति हो, उन्होंने हर क्षेत्र में भारत को नई ऊँचाइयों तक पहुंचाने का प्रयास किया।","चाहों अनें अवसंरचनां होई, भणतर होई, विदेश नीति हो तिन्‍हुंयी हर ईलाका मां भारत नों नवी ऊंचाईयों तक मुलववा नों प्रयास करियों से।"
17549,"न केवल आपको बाद में उनकी रसीद (रसीद जांच में) स्कैन करने का निर्देश दिया जाता है, बल्कि इंस्टाकार्ट नीति के अनुसार ऐसा न करने का भी परामर्श दिया जाता है।",अन केवल आपड पसी तिनुं नी रसीद स्‍कैन करवा नो निर्देंश आल्‍यों से बाकुन इंस्‍टाकार्ट नेम नें अनुसार ऐसा नं करवा नों बी नेम बी आले से।
39843,"आज मैंने उनके धैर्य का यह बदला प्रदान किया कि वही है जो सफलता को प्राप्त हुए। """,आज हुं तिना धेर्यनु आ बदलु आलियु कि त्‍या सफलता ने आलिया होई ।
51836,बिना किसी विशिष्ट उद्देश्य से खोजने पर आवेगपूर्ण और अफ़सोसजनक खरीदारी के निर्णय लिए जा सकते हैं।,वगर कोई पेहला उदेश्य थी जोवा पर हिम्मपूर्ण अने अफसोस जनक खरीदारी नो निर्णय हारू जाइ्र सके से।
54978,"इस बारे में तुलसी ने आईएएनएस से कहा, ""हालिया वक्त में 'लाहौर' चार्टबस्टर्स में से एक रहा है और 'स्ट्रीट डांसर 3डी' की 'लग दी लाहौर दी' में एक नया जोश भर रहा है, सचिन-जिगर द्वारा ऑरिजनल गाने का सार बरकरार रखा गया है।",इना बारा मा तुलसी ये आइएएनएस ही कूदु हालिया मा लाहौर चार्टरबस्टरो मा ही एक अजु स्टरीट डांसर उडी नी लगदी लाहौर दी मा एक नवो ताकत भरी रीया है। सचिन जिगर द्वारा ऑरिजनल गीतयों ना सार बरकरार राखियां गया है।
49725,"देश में विलय और एकीकरण की प्रक्रिया को आसान बनाने के सरकार के उद्देश्य के अंतर्गत मंत्रालय ने 2017 में अल्‍पतम स्‍तरों में संशोधन किया था, जो परिसम्‍पत्तियों की संगणना और ऐसे कार्यों से जुड़े एक लक्ष्‍य के कारोबार के लिए अपनाई जाने वाली युक्तियों और कार्य पद्धतियों पर लागू है।",देश मां मलावा अने एक कटवानु काम ने आसान बणावा ना सरकार ना उददेश्‍य ना अंदर मंत्रालय ही 2017 मां ओसा स्‍तर मां सुधारों करयो हुतो ती परिसम्‍पती नी गणना अने हेवा कामों थी जोडयी ने एक लक्ष्‍य ना कारोबार हारू अपनावेली यूक्तियों अने कामों ना तरिकों उपर लागु से।द्य
81066,दोनों ने इस बात पर सहमति जताई कि खेलों में मानवता और समाज को एकजुट करने की शक्ति है।,बे ने इनी बात उपर सहमति जताई कि रमवा मा मानवता अन समाज ने एकजुट करवा नी शक्ति से ।
25382,"जब देश जनता कर्फ्यू के लिए हिन्‍दुस्‍तान का हर कोना निकल पड़ता है, तब उस चेतना की अनुभूति होती है। जब देश ता‍ली, थाली बजाकर के corona warriors के साथ कंधे से कंधा मिलाकर के खड़ा को जाता है, तब चेतना की अनुभूति होती है।","जैर देश नी जनतां करफ्यु हारूं हिन्‍दुस्‍तान नों हर खुणों निकळ पडयों से तां तिनी ललकांर नी सीक थायें से। जैर लोकुं थाळी थी थाळी वगाडिरियां कोरोनां हरकी टिम मां खबा थी खबों मेळवीन उबों थाई जाच से, तैर ललकार नी सीक मळें से।"
3572,"उस डेबिट कार्ड के साथ हर गरीब परिवार को एक लाख रुपए का बीमा सुनिश्चित कर दिया जाएगा। 
",तिना डेबिट कार्ड ना हाते बदा गरीब परिवारूं ने एक लाख रूपयां नो बीमा नी हामी करो दी जाहें।
122428,प्रधानमंत्री श्री नरेन्‍द्र मोदी के नेतृत्‍व में वर्ष 2015 में असैन्‍य परमाणु सहयोग के क्षेत्र में महत्‍वपूर्ण उपलब्‍धियां दर्ज की गई हैं।,प्रधानमंत्री श्री नरेन्‍द्र मोदी नी देखरेख मा वरह 2015 मा असैन्‍य परमाणु ना मदद ही  क्षेत्र मा  खास उपलब्‍धिया दर्ज करीगी हे।
49376,उन्होंने कहा कि भारत विश्व में सबसे युवा राष्ट्र और सबसे प्राचीन सभ्यता वाला देश है।,तेनए केदू से कि भारत देह पूरा देह मे जोवान देह अने बढीया रितिरीवाज वालों देह से ।
129453,मैं अपने घर चली जाऊँगी।,में खुद ना घेर जाती रोहिस
46866,"जबकि VeriSign ने बाद में ईमेल के साथ SiteFinder का व्यवहार बदल दिया, फिर भी VeriSign द्वारा किये गये इस कृत्य के बारे में घोर विरोध प्रदर्शन किया गया कि कैसे VeriSign ने इंटरनेट संरचना घटक, जिसकी सुरक्षा का जिम्मेवार VeriSign था, के हित के बजाए अपने वित्तीय हितों की तरफ अधिक ध्यान दिया।",जबकि अपतपेपही ने बाद मा ईमेल नी हाथे ेपजम पिदकमत नो व्यवहार बदली दे दो फेर भी अपतपेपही हारू कराया ग्यॉं इसी कृत्य के बारे मा घोर विरोध प्रदर्शन करों ग्यों कि केसा अपतपेपही ने इंटरनेट सरचना घटक जिनकी सुरक्षा नो जिम्मेदार अपतपेपही हतो के हित ना बजाए आपडे वितीय हितो की तरफ ज्यादा ध्यान देवा जेवे।
14050,"सरकार की कोशिश की वजह से अब जहां-जहां local bodies अपनी स्ट्रीट लाइटों को LED बल्ब से बदल रही हैं, वहां पर भी उन्हें आर्थिक फायदा हो रहा है।",सरकार नीं कोशिश नें बानें थी हाव जां-जां Local bodies आपड़ी स्‍ट्रीट लाईटों नें LED गुलुप थी बदल री से तां पर बी तिनुयें आर्थिक फायदों होय रीयों से।
136194,कपड़ों को ठीक से रखें।,सीतरां ने ठीक थी मेलो।
9011,"उन्होने श्रीलंका की क्रिकेट टीम को दो अलग समय में कोच किया, जिसमे पहले समय में श्रीलंका की टीम ने 1996 क्रिकेट विश्व कप जीता।","तिहूई स्रीलंका ना क्रिकेट टीम नो बे अलग टेम मा कोचनु काम कर्यू, जिन मा पहली वखद मा स्रीलंका नी टीम ने ओगनिश्टो छनू क्रिकेट वीशु कप जीत्यो।"
71560,संवाददाता सम्मेलन में डॉ. जितेन्द्र सिंह ने वैज्ञानिक समुदाय की प्रतिबद्धता और कठोर परिश्रम की सराहना की और सामान्य जन के जीवन में सुधार में अंतरिक्ष प्रौद्योगिकी के इस्तेमाल के लाभों को उजागर किया,संवाददाता सम्‍मेलन मा डॉ.जितेन्‍द्र सिंह ने वैज्ञानिक समुदाय नी प्रतिबद्धता अने कठोर परिश्रम नी सराहना करी अने सामान्‍य जन नी जीवन मां सुधार मा अंतरिक्ष प्रौदयोगिकी ने इस्‍तेमाल ने लाभों ने उजागर करयो से ।
118324,"दलहन, तिलहन और सब्जियां जैसी फसलें उगाई जाती हैं, जिसके बाद रबी के मौसम में धान उगाया जाता है।",दाल तेल अन भजियां जैवी फसल उगाडी जाय से जिने बाद टाड ना समया मां हाळ नी फसल उगाडी जाय से।
69148,"श्रीकालहस्ति, महानंदि, यागंटि, अंतर्वेदि, कट्टमंचि, पट्टिसीमा, भैरवकोना, हनुमकोण्डा, कीसरगुट्टा, वेमुलवाड़ा, पानगल, कोलनुपाका सहित अन्य स्थानों पर विशेष पूजा के लिए श्रद्धालुओं की भीड़ उमड़ती है।,","श्री कालहस्ति, महानंदि, यागंटि,अंतर्वेदि, कटमंचि, पटिसीमा, भैरवकोना, हनुमकोण्‍डा, कीसरगुटा, वेमुलवाडा, पानगल, कोलनुपाका हाती अन्‍य जगा मा खास पूजा हारू दरसण करवा नी भीड दौडी से । "
86849,"पुणे के एक वरिष्ठ पुलिस अधिकारी ने बताया, ‘‘महिला की शिकायत के अनुसार वह अस्पताल में रात्रिकालीन पाली में थी, जब उसके साथ एक आरोपी ने बलात्कार किया, जो उस वक्त वहां तैनात था ।","पुणे ना जुना साबडा यी केदू कि बयरा नी शिकात नी हसयाब थी दवाखाना मा राते नी पाळी मा हती जेरे तिनी हाते एक आदमी यी इज्जत लेदी , तिनी वखत व ता उबेला । "
34490,"इस देश में आपका स्वागत है, जो प्राचीन समय से ‘वसुधैव कुटम्बकम्’ में विश्वास रखता है, अर्थात जिसके लिए पूरा विश्व ही एक परिवार है।",इना हेह मॉ तमारू स्वागत से त्यॉ जुना समय मॉ वसुधैव कुटुम्बकम मॉ भरोहो राखे से तीना हारू पूरी दनिया तीनो परिवार से ।
56768,"इसके अलावा, बेलूर मठ में रामकृष्ण मिशन द्वारा संचालित एक मानद विश्वविद्यालय है जिसका नाम रामकृष्ण मिशन विवेकानंद विश्वविद्यालय है।",इनी अलावा बेलूर मठ मा रामकृष्‍ण मिशन द्वारा संचालित एक मानद विश्‍वविदयालय से जिना नाम रामकृष्‍ण मिशन विवेकानंद विश्‍वविदयाल से।
2877,हमारे लगातार कदमों के कारण Inflation rate हमने 6 percent से ऊपर जाने नहीं दिया है।,आपडा लगातार कामो नी कारण Inflation rate हमञे 6 टका थी उपर जावा नी देदू से।
136124,बात करना बंद करो।,वात करवुं बंद करो।
43471,(iii). भारतीय विमान पतन प्राधिकरण की 0.9 एकड़ जमीन तूती कोरीन हवाई अड्डे पर टैक्सी टैक बनाने के लिए भारतीय तटरक्षक को देने का प्रस्ताव।,भारतीय विमान पतन प्राधिकरण नी 0.9 एकड जीम तूती कोरीन हवाई अडडो पर टेंक बणवानो हारू भारतीय तटरक्षक ने आळवा नो प्रस्‍ताव से।
36620,"भारत एक विशाल देश है, खान-पान में ढेर सारी विविधता है | हमारे देश में छह अलग-अलग ऋतुयें होती हैं, अलग-अलग क्षेत्रों में वहाँ के मौसम के हिसाब से अलग-अलग चीजें पैदा होती हैं | ","भारत एक मोटो देश से, खावा पीवा मां घणां बदां फैर से। आपड़ा देश मां 6 नाळां- नाळां मौसम थाय से। नाळां-नाळां एरियां मां तांहनां मौसम ना हिश्‍याब थी नाळी- नाळी सीजीयों पैदां थाय से। "
62775,बिबिगढ़ कुँएं का स्थल जहाँ एक स्मारक बनाया गया था।,बिबिगढ़ कुँएं नी जगा जां एक स्मारक बणायो ग्‍यो हतो ।
128762,तेनालीराम की जीवनी विजयनगर से ही शुरू होती है।,तैनालीराम नू जीवणु विजयनगर से शुरू कोरियू ।
137964,वह खुश है।,त्यों राजु से।
22687,देश भर में जनजातियों के सर्वांगीण विकास को सुनिश्चित करने में मंत्रालय कोई कसर नहीं छोड़ेगा।,देश भर मां आदिवासियों ना सर्वांगीण विकास ने सुनिशिचत करवा मां मंत्रालय कोई कसर नी सोड़हे ।
66139,ये रन कैंसर रिसर्च यूके की सहायता के लिए है।,थी रन कैंसर रिसर्च यूके नी मदद हरू हे।
675,"हम सब मिलकर के एक ऐसा भारत बनाएंगे जो स्वच्छ होगा स्वस्थ होगा और स्वराज के सपने को पूरा करेगा।
","हमू हगला मलिने एवो देह बणावानु छे जो हाफ , हुतारो अन हवराज  ना हपना ने पूरो करी आले 
"
134125,मुझे जाने दो।,मन जावा दो।
45039,छायादार जगहों में वृद्धि हल्की होती है ।,सीहला वाली जगा मां हल्की वृद्वि थाय सें ।
115139,और मैं अपनी युवावस्था का भी आनंद लेता हूँ। आजकल हमारे देश के कई शहरों में साइकिल का उपयोग देखा जा रहा है और कई लोग इसके उपयोग को बढ़ावा दे रहे हैं।," हूँ अपणी युवाओं का खुसी लेता हूँ आज कल हमारे देह का कई चेहरों मा साइकल नो खर्चो देखवा जा रहियो हे,वो ये लोगानु इनु खर्च बढ़ावा दे रहियो है |"
112182,बैठक के दौरान प्रधानमंत्री ने गुजरात में राष्ट्रपति श्री मिर्जियोयेव और उनके शिष्टमंडल का हार्दिक स्वागत किया।,बैठक नी वसमा प्रधानमंत्री यी गुजरात मा राष्‍ट्रपति श्री मिर्जियोयेव अने तिहुना शिष्‍टमंडल नो आव भाव करीयो।
3791,उन्होंने इल्जाम लगाया कि अधिकारी सरकार को बदनाम करने में लगे हुए हैं।,तिहुयी बेम वादियों से की अधिकारी बरकार नी वात उडाडवा मा लाग्‍या से।
120660,मिशन की वित्तीय वर्ष 2020-21 से 2023-24 तक चार साल की कार्यान्वयन अवधि होगी,अभियान नु साल 2020-21 थी 2023-24 तक स्यार साल नी काम करवानो टाईम ओहे ।
138751,हम कॉफी पीते हैं।,हमु कॉफी पिइये से।
56115,कलकत्ता के महापौर की हैसियत से देशबन्धु ने सुभाष की गिरफ्तारी के विरुद्ध नगर निगम में अत्यंत साहसिक भाषण दिया.,कलकता ना महापोर ना नाता थी देश बंध ने सूभाष नी धरावा नी खिलाफ नगर निगम मा भारी कडक दम वालू भाषण दे दू।
10068,"यह आतंकवादी हमला जैश-ए-मोहम्मद (जेएम) द्वारा किया गया था, जो एक पाकिस्तान स्थित और समर्थित आतंकवादी संगठन है जिसे संयुक्त राष्ट्र और अन्य देशों ने प्रतिबंधित किया हुआ है, और जो संयुक्त राष्ट्र द्वारा नामित और अंतरराष्ट्रीय स्तर पर प्रतिबंधित आतंकवादी मसूद अजहर द्वारा संचालित है।","यु आतंकवादी हमलो जैश-ए-मोहम्मद (जेएम) ये कोरीयो , जो एक पाकिस्तान स्थित और समर्थित आतंकवादी संगठन छे जिसे संयुक्त राष्ट्र अने बीजा देशों ने प्रतिबंधित कोरियु छे अने जो संयुक्त राष्ट्र द्वारा नामित अने अंतरराष्ट्रीय स्तर पर रोकेला आतंकवादी मसूद अजहर चलाड तेलो"
3413," मैं आभार की अभिव्यक्ति करना चाहता हूँ।
",हुं जोहर नीं असल वात्युं करवां मांग्युं से।
136548,मेरे दो लड़के और एक लड़की है।,मार बे सोरान एक सोरी से ।
7609,"लेकिन 1620 में, जहांगीर बीमार पड़ गया, और इस तरह सत्ता के लिए परिचित खोज शुरू हुई।","पण 1620 सां, जहांगिर बेमार पड़ी ग्यो अने एवी तरह थी राज हारू जाणकर खोज सरू थई।"
129343,पेड़ की जड़ें गहरी हैं।,झाड नी जड गहरी छे
133920,घड़ी काली है।,घड़ी काळी से।
118717,"ऑनलाइन पाठ्यक्रम, रणनीति प्रशिक्षकों और वीडियो पाठ जैसे सभी स्तरों के खिलाड़ियों के लिए कई ऑनलाइन शिक्षण संसाधन भी उपलब्ध हैं।",आनलाइन पाठॅयक्रम ओजना बणावनारो अने विडियो पाठ जैवा हगळा स्तरों ना रमवा वाळा हारू घणियो आनलाइन शिक्षण साधन पण मळे से ।
21778,"स्क्रैप के निपटान के बाद 2,10,000 रुपये प्राप्त हुए हैं।","स्क्रैप ना निबटान ने बाद 210000, रुपया मलया ।"
116771,विद्यालय के उप-प्रधानाचार्य समेत दो शिक्षकों और स्कूल के चिकित्सा कक्ष की नर्स के खिलाफ भारतीय दंड संहिता और पॉक्सो अधिनियम की विभिन्न धाराओं के तहत मामला दर्ज किया गया है.,इसकुल नो उप-प्रधानाचार्य हमेत बे मास्तरु अन इसकुल ना दवाखाना कमरा नी नरस नी खिलाफ भारतीय दंड संहिता अन पॉक्सो अधिनियम नी घणी खरी धाराओं म्य मामला दर्ज करिया ग्या से।
68967,यह वैसा ही अंतर होगा जो सेवानिवृत्त होने और काम जारी रखने के बीच का अंतर होतेर है।,यो एक ही अंतर योवे जो से।वानिवृत्त थावा अने काम चालू राखवा ना वस नो अंतर थाय है |
20810,आप सामान भेजने के काम आने वाले पात्र के विक्रेताओं को अपने स्थानीय समाचार पत्रों और वर्गीकृत विज्ञापनों में भी खोज सकते हैं।,तमुं समान मोलवा नां काम आवा वाळां पात्र नां विक्रेताओं नें आपड़ी जगा समांचार पत्रुं अनें वाटेलां विज्ञापनों मां बी जोवी सकहें से।
38895,अन्य लोगों के सामने अगर आप अपना ख्याल पहले रखते हैं तो ऐसा लग सकता है कि आप दूसरों के प्रति सहानुभूति रखने के बजाय उन्हें कुछ समझते हैं।,बिजा लोको ने हामी अगर तमु आपडी ध्यान पेहली राख्ये से तेर ऐवू लागी सके कि तमु बीजा हारू असल राखवानी वखत तिनान नाला हमजे से।
102551,"जीवन बहुत लंबा है, इसमें उतार-चढ़ाव आते रहते हैं, लेकिन इनसे हार नहीं माननी चाहिए। कभी-कभी अनचाहे परिणाम आगे बढ़ने का संकेत देते हैं।","जवन लाम्बी रे से , आ तकलीप - हारू बुझई री से, पण हारू मत दो। कदी -कदी अनजाणे नतीजा अगल बढ़वा नो इसारो करे से।"
12963,"लेकिन क्या आपको नहीं लगता है कि 2018 में हम प्रवेश, अच्छी चीज़ों को याद करके करें , अच्छा करने के लिए करें ? मैं आप सबको एक सुझाव देता हूँ कि आप सब 5-10 अच्छी positive बातें जो आपने सुनी हों, आपने देखी हों, आपने अनुभव की हों और जिसको अगर और लोग जाने तो उनको भी एक शुभ-भाव पैदा हो |","पण कई तमून नी लागी रयू कि 2018 मा अमु परवेश असल सीजीयो मा आद करीन करां। असल करवा हारू करये । हू तमून एक सुझाव आद करीन आलीरीयो से कि तमु सब 5-10 असल positive वातें जो तमुये हामळी से तमुय देख्‍यू से ,तमुये अनुभव भी करीय ओहे। तिनान अगर लोग जाणे ते तिनामां पण एक शुभ-भाव पैदा थाए से।"
67625,इसके अलावा राशन भी दिया जाएगा।,इना बादमा राशन भी आलहे l
89833,"प्रमुख मंत्रालयों में फेरबदल की संभावना कम है, सूत्रों के अनुसार रसायन एवं उर्वरक राज्‍य मंत्री निहाल चंद को हटा कर अर्जुन मेघवाल को पद सौंपा जा सकता है।","प्रमुख मंत्रालयों मां फेरबदल नी संभावना कम है,सूत्रों ना अनुसार रसायन एवं उर्वरक राज्य मंत्री निहाल चंद ना हटाकर अजॅूर्न मेघवाल ने पद सौपा जा सके है ।"
70499,दुबारा प्रदर्शित करने के बाद भी फिल्म बॉक्स ऑफिस पर अच्छा प्रदर्शन नहीं कर पाई।,फिर थी वतडवानी बात वारही  )पण फिल्म बॉक्स ऑफिस ऊपर बढ़िया ताजू वताडी नी
121226,पुरी की उपस्थिति में मंत्रालय की ओर से संयुक्त सचिव संजय कुमार और सिडबी के उप-प्रबंध निदेशक वी. सत्य वेंकट राव ने हस्ताक्षर किए।,पुरी नी मोजदुगी मा मंत्रालय नी तरफ थी संयुक्त ससिव संजय कुमार अन सिडबी ना उप-प्रबंध निदेशक वी. सत्य वेंकट राव यी दसखत करीया। 
119876,महिला एवं बाल विकास मंत्रालय ने '# चाइल्डलाइन 1098' प्रतियोगिता का शुभारंभ किया - 'चाइल्डलाइन 1098 लोगो को स्पॉट करें और एक टैगलाइन का सुझाव दें',महिला एवं बाल विकास मंत्रालय ना चाईलदलाईं 1098 हद जोड़ नी शुरुवात करी चाईलदलाईं 1098 लीको को सपाट काढ़े आने एक टेगलाईं नी वाट केड़ी से 
47461,"हालांकि सभी आईएएस अधिकारियों को एक बेहद प्रतिस्पर्धी राष्ट्रीय परीक्षा के माध्यम से चुना जाता है, कम से कम 50 प्रतिशत पद पारंपरिक रूप से आधिकारिक समूहों की तीन श्रेणियों के सदस्यों के लिए आरक्षित होते हैं जिनके परीक्षा में कम नंबर होते हैं उन्हें कार्यालय से अयोग्य घोषित किया जाता है।",ऐमकि बंदा आईएएस अधिकारियों ने एक घणी मुकाबला नी राष्ट्रीय परिक्षा ना रास्ता ही चुना जाय से। कम थी कम 50 प्रतिशत पद पारंपरिक रूप  ही अधिकारी ना समूहों नी तीन श्रेणी ना सदस्य हारू आरक्षित थाय से झीना परीक्षा मां कम नम्बर आवे से तीनान कार्यालय मां अयोग्य (किसी काम का नही)  घोसित करी दे से।
127395,वर्तमान में महँगाई के कारण कोई खुश नहीं है।,दाहडे मँहगाई ने कारण कोई खुश नी छै ।
15602,"छापों के दौरान, पुलिस को घर के बने बम, बड़ी मात्रा में गोला-बारूद, आग्नेयास्त्र, डेटोनेटर और अन्य उपकरण, नाज़ी प्रतीकों और चरमपंथी साहित्य के साथ मिले।","छापा नां वखत तरकडा नें घेर नां बणेलां बम, आखा-घणां बम-गोलां आगनां गोळां डेटोनेटर अनें बीजा साधन नाजी प्रतीकों अनें चारमपंथी साहित्‍य नें हातें मळयां।"
88586,बैठक में नगराधीश व नगरपरिषद के सचिव आदि भी उपस्थित थे।,मीटिंग मा नगराधीश व नगरपरिषद ना सचिव ऐवा पण हाजिर हता।
18429,आजादी के बाद से पंजाब मुख्य रूप से एक कृषि प्रधान समाज रहा है।,सुटकारों थाया फेर पंजाब खरेखरखास रूप थी एक करषांण मोटो हमांज रियों से।
15211,"साथियो, आज भी कई लोग मुझे चंद्रयान-3 की सफलता को लेकर सन्देश भेजते रहे हैं।",साथियों आज पण कई मनख मन चंद्रयान -3 नी जीत ने लीने हमीस्यार मोकलता रया से ।
93630,"मध्य प्रदेश में कान्हा राष्ट्रीय उद्यान की स्थापना 1955 में की गई थी और यह कान्हा व्याघ्र संरक्षित क्षेत्र का केंद्र है, जिसे बाघ परियोजना के अंतर्गत 1974 में बनाया गया था।                                                    से",मध्यप्रदेश मा कान्हा राष्ट्रीय नू बगीचों नी मुख्यालय  1955 में करेली  रो आने ये कान्हा नाहार नी रखवाली ने भाग केंद्र से जिसमें नाहार नू काममा ये 1974 मा बगावेलू से
23721,"सोशल मीडिया की वजह से पैदा होने वाले भटकाव से बचने के लिए टिप्स लेने, विभिन्न भाषाओं को सीखने जैसे परीक्षा से संबंधित विभिन्न विषयों पर चर्चा की गई|",सोशल मीडियां नी वजे थी पैदां थावा वाळां भटकाव थी वसवा हारूं टिप्‍स लेवा घणीं भाषाओं नी हीख जैवा परिक्षा नी रीतें घणां विषयों पर वात्‍यों करियों1
66349,"इसके साथ ही, थार रेगिस्तान नम दक्षिण-पश्चिम ग्रीष्मकालीन मानसून हवाओं को आकर्षित करने में एक भूमिका निभाता है जो जून और अक्टूबर के बीच भारत की अधिकांश वर्षा प्रदान करता है।","अणाके हाते , थार रेगिस्तान नम दक्षिण-पश्चिम ग्रीष्मकालीन मानसून हवाओं को आकर्षित करने में एक भूमिका निभावे है जो जून और अक्टूबर के वसमा भारत की अधिकांश पाणी देवे। ।"
57672,"इसके अलावा, खाद्य एवं सार्वजनिक वितरण विभाग ने नियमित रूप से राज्यों/ केंद्र शासित प्रदेशों के साथ बातचीत की और सभी राज्यों/ केंद्र शासित प्रदेशों को भी स्पष्ट किया कि प्रवासियों/ फंसे हुए प्रवासियों के अलावा ऐसे सभी व्यक्तियों जिनके पास एनएफएसए/राज्य राशन कार्ड अथवा उसका विवरण नहीं है उन्‍हें भी आत्म-निर्भर भारत योजना (एएनबीएस) के तहत मुफ्त खाद्यान्न का वितरण भी किया जा सकता है।",इना अलावा खाद्य अने सार्वजनिक विभाग ना नियमित रूप थी राज्‍यों/केन्‍द्र शासित प्रदेशों ना हात वातचीत करे अने सभी राज्‍य/केन्‍द्र शासित प्रदेशों ने भी स्‍पष्‍ट करयो कि प्रवासियों। फंसे हुए प्रवासियो ना अलावा मा सभी एवा व्‍यक्तियों जिना पास एनएफएसए। राज्‍य शाशन 900 कार्ड अने इनामा विवरण नथी से इनाने भी आत्‍मनिर्भर भारत योजना (एएनकीएस) ना तहत मूफ्त खाद्पान ना वितरण भी करी जा सके से।
